# Accelerometer Data File
# Started @Tue Apr 26 12:52:50 MESZ 2016
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.019140625m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
0.21 7.795 4.807 10
0.229 7.776 4.826 9
0.249 7.795 4.865 10
0.229 7.834 4.807 1
0.229 7.834 4.807 10
0.229 7.795 4.903 10
0.229 7.814 4.903 0
0.229 7.814 4.903 10
0.191 7.719 4.903 0
0.191 7.719 4.903 10
0.191 7.776 4.96 10
0.153 7.795 4.865 0
0.153 7.795 4.865 10
0.153 7.776 4.846 10
0.191 7.757 4.788 9
0.268 7.757 4.558 1
0.268 7.757 4.558 10
0.268 7.738 4.731 10
0.21 7.68 4.635 0
0.21 7.68 4.635 10
0.325 7.776 4.635 9
0.268 7.719 4.271 1
0.268 7.719 4.271 10
0.153 7.623 4.539 0
0.153 7.623 4.539 10
0.114 7.585 4.731 10
0.344 7.623 4.386 0
0.344 7.623 4.386 10
0.249 7.661 4.846 10
0.536 7.91 4.539 0
0.536 7.91 4.539 10
0.517 7.585 4.769 10
0.823 7.757 5.19 9
0.919 7.872 5.344 1
0.919 7.872 5.344 10
1.877 8.887 4.788 0
1.877 8.887 4.788 10
0.21 6.531 4.903 0
0.21 6.531 4.903 10
0.0 6.34 5.401 10
0.114 6.55 6.914 0
0.114 6.55 6.914 10
-0.536 6.474 7.431 0
-0.536 6.474 7.431 10
-0.632 6.167 7.355 0
-0.632 6.167 7.355 10
-0.114 5.918 7.259 10
0.325 5.899 6.933 9
0.134 5.956 6.723 1
0.134 5.956 6.723 10
-0.134 5.803 6.359 0
-0.134 5.803 6.359 10
-0.21 5.478 7.087 10
-0.229 5.267 7.412 0
-0.229 5.267 7.412 10
-0.172 5.152 7.814 9
-0.249 4.731 8.427 1
-0.249 4.731 8.427 10
-0.44 4.405 8.542 9
-0.421 4.328 8.6 10
-0.632 4.309 8.696 0
-0.632 4.309 8.696 10
-0.191 4.558 8.715 1
-0.191 4.558 8.715 10
-0.344 4.309 8.83 0
-0.344 4.309 8.83 10
-0.459 4.194 8.81 10
-0.249 4.52 8.964 10
-0.057 4.405 8.332 0
-0.057 4.405 8.332 10
-0.019 4.252 8.178 9
-0.172 4.041 8.332 1
-0.172 4.041 8.332 10
0.134 4.252 8.217 9
