# Accelerometer Data File
# Started @Sat May 21 12:15:54 MESZ 2016
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.019140625m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
4.98 4.673 5.363 0
4.98 4.673 5.363 10
4.788 4.922 4.692 10
4.233 5.095 4.96 0
4.233 5.095 4.96 10
5.65 5.612 5.458 10
4.731 4.692 6.129 10
7.393 4.731 6.205 0
7.393 4.731 6.205 10
7.125 5.554 7.163 0
7.125 5.554 7.163 10
7.048 5.516 6.244 1
7.048 5.516 6.244 10
9.538 5.344 4.213 9
10.132 3.735 4.367 10
10.381 2.509 3.141 10
10.649 0.268 2.451 0
10.649 0.268 2.451 10
9.902 -1.264 0.076 10
9.845 -1.723 -0.804 10
9.347 -0.689 -2.317 0
9.347 -0.689 -2.317 10
9.902 0.708 -3.083 10
11.032 2.547 -1.589 10
11.875 4.711 3.466 0
11.875 4.711 3.466 10
8.753 5.899 -1.743 0
8.753 5.899 -1.743 10
7.278 8.083 -2.336 1
7.278 8.083 -2.336 10
-9.826 14.882 -19.192 0
-9.826 14.882 -19.192 10
12.526 16.721 -0.076 10
16.184 14.135 -2.241 9
6.838 0.823 -13.695 10
2.068 -1.857 -12.584 10
3.581 0.689 -9.059 10
7.47 5.899 -12.048 0
7.47 5.899 -12.048 10
9.423 6.205 -9.519 0
9.423 6.205 -9.519 10
4.482 1.264 -8.255 0
4.482 1.264 -8.255 10
-0.268 -1.762 -8.561 10
4.577 4.96 -6.78 10
4.558 5.401 -6.34 10
2.298 3.217 -7.278 10
6.263 4.558 -7.604 10
4.079 4.462 -9.443 10
0.957 2.719 -12.622 10
0.21 0.459 -11.339 0
0.21 0.459 -11.339 10
-0.057 3.811 -11.626 0
-0.057 3.811 -11.626 10
1.551 6.282 -16.357 0
1.551 6.282 -16.357 10
-1.187 4.539 -11.741 0
-1.187 4.539 -11.741 10
-2.03 3.792 -8.236 0
-2.03 3.792 -8.236 10
-2.03 4.309 -7.47 0
-2.03 4.309 -7.47 10
-1.513 4.98 -8.715 0
-1.513 4.98 -8.715 10
-1.8 4.558 -9.653 10
-2.202 3.773 -8.523 10
-2.758 2.949 -7.259 10
-3.486 2.049 -5.65 0
-3.486 2.049 -5.65 10
-3.122 1.417 -3.581 0
-3.122 1.417 -3.581 10
-3.026 0.229 -1.168 0
-3.026 0.229 -1.168 10
-9.117 3.064 -0.517 10
-6.704 5.746 0.172 10
-2.853 6.531 2.049 0
-2.853 6.531 2.049 10
-5.114 5.056 -0.881 0
-5.114 5.056 -0.881 10
-1.666 1.436 3.256 0
-1.666 1.436 3.256 10
-4.788 -0.727 2.49 10
-6.129 -2.336 0.651 10
4.711 0.057 3.39 0
4.711 0.057 3.39 10
9.155 0.325 6.301 0
9.155 0.325 6.301 10
2.892 -1.628 10.305 10
3.907 0.153 8.236 10
5.018 -1.915 5.554 10
2.106 -4.137 2.509 10
1.972 -6.11 1.417 0
1.972 -6.11 1.417 10
-2.413 -6.263 4.577 10
-4.29 -8.159 8.159 10
-3.217 -9.711 3.275 10
-3.352 -8.236 -0.134 0
-3.352 -8.236 -0.134 10
-3.639 -8.485 -2.049 0
-3.639 -8.485 -2.049 10
-5.037 -10.937 -2.241 10
-5.229 -11.952 -2.049 10
-4.501 -12.948 -2.317 0
-4.501 -12.948 -2.317 10
-4.597 -13.906 -2.432 0
-4.597 -13.906 -2.432 10
-4.731 -15.419 -2.566 0
-4.731 -15.419 -2.566 10
-5.516 -16.702 -3.16 0
-5.516 -16.702 -3.16 10
-7.029 -18.713 -3.543 10
-9.213 -20.571 -3.639 10
-10.649 -21.51 -3.907 0
-10.649 -21.51 -3.907 10
-12.871 -23.387 -2.719 0
-12.871 -23.387 -2.719 10
-15.17 -24.938 -1.838 10
-19.001 -26.528 -0.363 10
-21.471 -26.567 -0.363 10
-26.969 -24.651 4.711 10
-30.972 -16.375 12.565 10
-29.88 -12.871 14.959 10
-32.887 -7.661 14.078 0
-32.887 -7.661 14.078 10
-33.022 -5.976 12.699 0
-33.022 -5.976 12.699 10
-32.562 -4.846 10.343 0
-32.562 -4.846 10.343 10
-32.581 -3.562 6.665 0
-32.581 -3.562 6.665 10
-28.156 -3.256 9.826 10
-24.747 -6.378 12.124 10
-21.51 -9.366 6.991 0
-21.51 -9.366 6.991 10
-17.258 -11.741 -5.516 0
-17.258 -11.741 -5.516 10
-14.461 -9.27 -1.034 0
-14.461 -9.27 -1.034 10
-14.787 -8.389 7.24 10
-13.082 -7.259 7.067 10
-12.603 -4.194 1.168 10
-10.477 -3.83 4.769 0
-10.477 -3.83 4.769 10
-12.603 -6.205 -0.076 0
-12.603 -6.205 -0.076 10
-10.898 -4.577 -1.628 0
-10.898 -4.577 -1.628 10
-8.983 -3.696 -1.417 10
-7.757 -3.141 2.394 0
-7.757 -3.141 2.394 10
-4.846 -2.739 2.758 0
-4.846 -2.739 2.758 10
-4.788 -2.949 -4.865 10
-5.956 -3.926 -2.796 0
-5.956 -3.926 -2.796 10
-2.355 -4.52 0.459 0
-2.355 -4.52 0.459 10
-1.762 -2.949 -1.359 10
-1.034 -2.068 -0.095 10
-3.543 -2.662 -2.317 0
-3.543 -2.662 -2.317 10
-5.458 -3.313 -2.126 10
-3.026 -3.409 -1.474 10
-1.743 -3.658 -0.325 10
-1.015 -3.639 -0.976 10
-3.122 -4.558 -2.624 0
-3.122 -4.558 -2.624 10
-3.026 -4.616 -3.141 0
-3.026 -4.616 -3.141 10
-4.06 -3.83 -3.217 0
-4.06 -3.83 -3.217 10
-3.294 -3.313 -2.892 10
-4.807 -2.604 -3.16 10
-5.018 -4.021 0.976 0
-5.018 -4.021 0.976 10
-4.099 0.191 -2.298 0
-4.099 0.191 -2.298 10
-8.043 -2.336 -1.494 0
-8.043 -2.336 -1.494 10
-8.312 -4.616 -0.172 10
-8.696 -3.735 -1.589 10
-8.523 -2.968 -1.053 10
-2.47 -3.064 -0.095 0
-2.47 -3.064 -0.095 10
-2.7 -1.628 -0.249 0
-2.7 -1.628 -0.249 10
-4.577 -2.183 -1.589 10
-8.332 -4.846 -0.363 10
-7.47 -4.941 -4.635 10
-3.409 -3.773 -6.78 0
-3.409 -3.773 -6.78 10
-3.562 -3.581 -4.616 0
-3.562 -3.581 -4.616 10
-2.049 -2.126 -3.945 10
-4.711 -1.934 -5.765 10
-7.949 -1.992 -4.06 0
-7.949 -1.992 -4.06 10
-13.331 -3.754 -4.884 0
-13.331 -3.754 -4.884 10
-8.485 -5.324 -1.225 0
-8.485 -5.324 -1.225 10
-6.569 -6.972 0.287 10
-4.75 -7.24 3.217 10
-2.03 -6.416 -0.229 0
-2.03 -6.416 -0.229 10
-4.673 -6.11 -4.922 0
-4.673 -6.11 -4.922 10
-9.538 -8.043 -2.547 0
-9.538 -8.043 -2.547 10
-11.607 -8.523 3.735 10
-11.76 -6.761 5.267 10
-15.859 -6.11 9.787 10
-17.487 -6.857 11.741 0
-17.487 -6.857 11.741 10
-6.627 -4.386 5.018 0
-6.627 -4.386 5.018 10
-11.53 -11.013 6.704 10
-16.011 -17.392 6.761 10
-12.565 -18.311 3.332 10
-8.523 -14.174 0.632 0
-8.523 -14.174 0.632 10
-7.221 -8.6 1.455 0
-7.221 -8.6 1.455 10
-7.029 -6.569 4.443 10
-7.393 -4.903 8.389 10
-4.52 -3.907 9.194 10
-5.075 -6.665 7.355 0
-5.075 -6.665 7.355 10
-4.539 -10.247 1.608 0
-4.539 -10.247 1.608 10
-4.328 -11.243 -1.685 0
-4.328 -11.243 -1.685 10
-4.462 -9.883 -5.114 10
-2.087 -6.359 -4.616 10
-4.175 -4.328 -4.06 10
-7.451 -1.857 -1.532 10
-9.021 -1.015 1.206 10
-8.581 -1.053 2.106 0
-8.581 -1.053 2.106 10
-8.791 -3.869 0.689 0
-8.791 -3.869 0.689 10
-13.676 -15.668 -1.972 10
-11.377 -20.744 -2.394 10
-1.743 -13.12 -1.359 10
0.095 -6.972 0.9 10
-0.019 -3.715 -1.245 0
-0.019 -3.715 -1.245 10
1.398 -6.531 -1.723 0
1.398 -6.531 -1.723 10
1.992 -8.024 -1.992 10
1.934 -7.451 2.298 10
-0.095 -6.761 2.26 10
-5.42 -7.431 -2.26 10
-6.052 -9.347 -6.091 0
-6.052 -9.347 -6.091 10
-3.85 -8.849 -4.118 0
-3.85 -8.849 -4.118 10
-2.413 -6.55 1.072 10
-0.574 -3.562 6.34 0
-0.574 -3.562 6.34 10
-1.225 -3.294 8.217 10
-2.183 -5.229 7.7 10
-4.175 -8.332 6.742 10
-4.999 -8.734 5.899 0
-4.999 -8.734 5.899 10
-6.435 -10.611 6.359 0
-6.435 -10.611 6.359 10
-7.776 -12.201 8.274 0
-7.776 -12.201 8.274 10
-7.336 -11.894 9.155 10
-5.075 -11.415 8.945 10
-3.275 -10.803 7.24 10
-2.413 -10.592 4.616 0
-2.413 -10.592 4.616 10
-2.7 -10.285 2.892 0
-2.7 -10.285 2.892 10
-2.49 -9.941 2.164 0
-2.49 -9.941 2.164 10
-1.053 -8.676 1.896 0
-1.053 -8.676 1.896 10
-1.781 -7.067 3.869 10
0.708 5.497 11.224 10
-0.21 3.524 5.075 10
-0.44 -1.206 -3.352 10
-2.375 -4.175 2.375 10
-3.083 -11.09 -0.095 10
-5.037 -13.235 -3.543 0
-5.037 -13.235 -3.543 10
-3.926 -12.067 -3.179 0
-3.926 -12.067 -3.179 10
-3.984 -6.665 -1.053 10
-4.213 -4.099 -0.249 10
-3.179 -5.133 -3.543 10
-2.604 -8.043 0.881 0
-2.604 -8.043 0.881 10
-1.628 -8.389 3.122 0
-1.628 -8.389 3.122 10
-0.134 -6.282 3.294 0
-0.134 -6.282 3.294 10
1.264 -4.75 0.057 10
1.149 -4.807 2.375 10
1.053 -5.554 3.352 10
-0.919 -6.091 -0.019 0
-0.919 -6.091 -0.019 10
-3.754 -10.209 0.229 0
-3.754 -10.209 0.229 10
-6.282 -16.011 -3.045 10
-6.263 -21.74 0.306 10
-6.263 -24.383 0.076 10
-5.018 -24.0 0.823 0
-5.018 -24.0 0.823 10
-5.573 -22.084 1.149 0
-5.573 -22.084 1.149 10
-10.305 -23.981 3.85 10
-5.535 -15.84 0.172 10
-2.988 -12.258 -0.249 10
-1.015 -9.021 0.0 0
-1.015 -9.021 0.0 10
0.057 -7.489 0.0 0
0.057 -7.489 0.0 10
1.034 -6.474 -0.21 10
1.436 -6.474 -0.057 10
0.689 -7.565 -0.402 10
-0.249 -9.5 -0.478 0
-0.249 -9.5 -0.478 10
-0.517 -10.477 -1.091 0
-0.517 -10.477 -1.091 10
-0.881 -11.511 -2.183 10
-0.67 -11.664 -2.624 10
0.287 -10.343 -2.106 10
0.038 -9.5 -1.398 0
0.038 -9.5 -1.398 10
-1.015 -9.308 -0.325 10
-1.704 -9.634 0.249 10
-2.01 -9.883 0.536 10
-2.145 -10.209 0.976 10
-2.298 -10.439 1.206 10
-1.953 -10.036 0.938 0
-1.953 -10.036 0.938 10
-1.57 -9.807 0.383 0
-1.57 -9.807 0.383 10
-1.34 -9.807 -0.919 0
-1.34 -9.807 -0.919 10
-0.804 -9.96 -1.455 0
-0.804 -9.96 -1.455 10
-0.651 -9.845 -0.976 0
-0.651 -9.845 -0.976 10
-1.302 -9.672 -0.67 10
-1.474 -9.653 -0.536 10
-1.723 -9.845 -0.517 0
-1.723 -9.845 -0.517 10
-1.877 -9.864 -0.498 0
-1.877 -9.864 -0.498 10
-2.087 -9.883 -0.593 0
-2.087 -9.883 -0.593 10
-2.087 -9.826 -0.536 10
-2.106 -9.692 -0.402 10
-2.183 -9.711 -0.306 10
-2.164 -9.768 -0.191 0
-2.164 -9.768 -0.191 10
-1.819 -9.768 -0.019 0
-1.819 -9.768 -0.019 10
-1.628 -9.787 -0.038 10
-1.455 -9.864 -0.019 0
-1.455 -9.864 -0.019 10
-1.245 -9.864 0.038 10
-1.206 -9.845 0.057 10
-1.13 -9.787 0.095 10
-1.187 -9.768 0.114 10
-1.302 -9.902 0.057 10
-1.398 -9.883 -0.038 0
-1.398 -9.883 -0.038 10
-1.417 -9.864 -0.21 10
-1.398 -9.826 -0.268 0
-1.398 -9.826 -0.268 10
-1.379 -9.845 -0.325 0
-1.379 -9.845 -0.325 10
-1.321 -9.768 -0.402 10
-1.264 -9.749 -0.44 10
-1.264 -9.711 -0.478 0
-1.264 -9.711 -0.478 10
-1.283 -9.749 -0.44 0
-1.283 -9.749 -0.44 10
-1.398 -9.807 -0.44 10
-1.474 -9.768 -0.402 10
-1.494 -9.73 -0.383 0
-1.494 -9.73 -0.383 10
-1.57 -9.768 -0.229 0
-1.57 -9.768 -0.229 10
-1.608 -9.845 -0.191 0
-1.608 -9.845 -0.191 10
-1.685 -9.864 -0.191 10
-1.743 -9.845 -0.095 10
-1.762 -9.845 -0.076 10
-1.838 -9.826 -0.095 0
-1.838 -9.826 -0.095 10
