# Accelerometer Data File
# Started @Tue May 03 09:23:04 MESZ 2016
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.019140625m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
1.666 -5.497 2.049 10
2.145 -5.535 1.608 10
3.735 -4.826 1.532 0
3.735 -4.826 1.532 10
4.731 -4.041 0.498 0
4.731 -4.041 0.498 10
5.573 -4.731 0.344 10
7.987 -5.65 0.536 10
9.596 -5.324 -0.823 10
10.534 -4.826 -4.252 10
7.106 -5.593 -4.501 10
2.509 -7.47 -2.375 10
-1.934 -6.914 -0.766 0
-1.934 -6.914 -0.766 10
-4.367 -8.81 2.355 0
-4.367 -8.81 2.355 10
-7.795 -10.209 3.122 10
-2.126 -7.623 2.93 10
7.91 -6.071 -4.52 0
7.91 -6.071 -4.52 10
14.404 -4.367 1.053 10
20.475 -5.19 -0.555 10
17.583 -5.784 0.21 0
17.583 -5.784 0.21 10
14.231 -6.186 -1.11 0
14.231 -6.186 -1.11 10
8.466 -7.623 -1.647 10
6.167 -6.742 -2.279 10
2.719 -4.865 -2.93 10
-2.298 -5.19 -3.256 0
-2.298 -5.19 -3.256 10
-2.126 -5.593 -1.857 0
-2.126 -5.593 -1.857 10
1.972 -9.251 4.041 10
8.332 -11.166 4.386 10
15.208 -11.358 2.375 10
15.17 -11.779 1.972 10
12.488 -10.841 -0.861 10
8.868 -9.711 -1.723 0
8.868 -9.711 -1.723 10
6.378 -8.887 -1.168 0
6.378 -8.887 -1.168 10
6.876 -7.087 0.612 0
6.876 -7.087 0.612 10
5.286 -5.631 0.881 10
-3.122 -4.386 0.172 10
-0.191 -3.639 -0.459 0
-0.191 -3.639 -0.459 10
-2.068 -4.424 0.325 0
-2.068 -4.424 0.325 10
-2.988 -8.178 -3.332 0
-2.988 -8.178 -3.332 10
7.91 -5.669 5.305 0
7.91 -5.669 5.305 10
10.075 -6.895 2.164 10
12.909 -9.098 2.643 10
7.125 -9.941 -2.221 0
7.125 -9.941 -2.221 10
8.925 -9.443 -0.517 0
8.925 -9.443 -0.517 10
9.213 -9.519 0.402 0
9.213 -9.519 0.402 10
3.735 -9.979 -5.056 0
3.735 -9.979 -5.056 10
3.486 -9.462 -3.754 10
3.064 -9.328 -2.03 10
2.93 -9.979 -2.451 0
2.93 -9.979 -2.451 10
0.996 -8.638 -1.053 0
0.996 -8.638 -1.053 10
6.263 -12.641 3.198 0
6.263 -12.641 3.198 10
1.781 -15.572 3.045 10
4.826 -13.12 -2.106 10
4.213 -13.35 0.191 10
5.095 -12.373 -1.034 0
5.095 -12.373 -1.034 10
5.056 -11.435 -2.145 0
5.056 -11.435 -2.145 10
4.118 -10.036 -2.336 10
3.62 -10.439 -2.547 10
3.907 -9.941 -1.628 10
3.85 -10.419 -1.704 0
3.85 -10.419 -1.704 10
5.305 -10.113 -1.302 0
5.305 -10.113 -1.302 10
4.252 -9.557 -2.47 0
4.252 -9.557 -2.47 10
1.494 -8.159 -2.03 10
0.114 -7.776 -2.126 10
0.0 -5.344 -0.134 10
0.344 -3.984 0.593 10
0.9 -3.275 1.149 0
0.9 -3.275 1.149 10
0.842 -3.198 0.708 0
0.842 -3.198 0.708 10
1.532 -3.888 -0.019 0
1.532 -3.888 -0.019 10
1.838 -4.213 -0.268 0
1.838 -4.213 -0.268 10
0.651 -2.93 -0.325 10
0.344 -2.93 -0.823 10
0.383 -2.528 -0.21 0
0.383 -2.528 -0.21 10
0.727 -2.336 0.038 10
0.172 -2.355 0.114 0
0.172 -2.355 0.114 10
0.076 -2.853 0.363 0
0.076 -2.853 0.363 10
0.287 -2.93 -0.478 0
0.287 -2.93 -0.478 10
4.175 -1.953 -4.386 10
-0.268 -4.52 0.095 10
-0.957 -6.301 -0.191 10
-2.7 -13.369 7.987 0
-2.7 -13.369 7.987 10
-0.536 -15.016 13.216 0
-0.536 -15.016 13.216 10
-5.746 -32.887 1.436 10
-24.938 -39.151 -3.945 10
8.657 -25.724 -0.861 10
17.009 -7.795 -1.704 10
14.212 -7.029 -0.478 0
14.212 -7.029 -0.478 10
1.57 -7.987 -0.574 1
1.57 -7.987 -0.574 10
-2.068 -7.834 -0.057 9
-7.297 -10.573 2.662 10
-7.757 -11.09 2.834 10
-3.16 -7.834 0.172 0
-3.16 -7.834 0.172 10
-2.164 -7.01 -1.053 0
-2.164 -7.01 -1.053 10
-2.604 -7.431 -0.019 0
-2.604 -7.431 -0.019 10
-3.122 -8.485 0.593 0
-3.122 -8.485 0.593 10
-3.581 -9.328 0.957 10
-4.884 -11.358 1.455 10
-5.248 -12.143 1.187 10
-3.85 -11.415 0.785 0
-3.85 -11.415 0.785 10
-3.811 -10.305 0.689 0
-3.811 -10.305 0.689 10
-4.807 -9.557 1.264 0
-4.807 -9.557 1.264 10
-6.033 -8.043 1.513 10
-6.838 -8.178 0.785 10
-5.401 -8.332 -0.229 10
-4.635 -8.121 0.842 10
-4.194 -8.389 1.474 0
-4.194 -8.389 1.474 10
-4.194 -8.734 1.359 10
-4.252 -8.925 1.187 10
-4.156 -8.849 0.996 0
-4.156 -8.849 0.996 10
-4.156 -8.715 0.976 0
-4.156 -8.715 0.976 10
-4.252 -8.427 0.957 0
-4.252 -8.427 0.957 10
-4.328 -8.312 0.938 0
-4.328 -8.312 0.938 10
-4.328 -8.217 0.957 0
-4.328 -8.217 0.957 10
-4.386 -8.351 0.804 10
-4.348 -8.427 0.842 10
-4.271 -8.581 0.785 10
-4.252 -8.734 0.766 0
-4.252 -8.734 0.766 10
-4.271 -8.887 0.785 0
-4.271 -8.887 0.785 10
-4.309 -8.964 0.881 0
-4.309 -8.964 0.881 10
-4.271 -8.906 0.919 10
-4.041 -8.734 0.881 10
-3.964 -8.657 0.881 10
-3.964 -8.734 0.651 0
-3.964 -8.734 0.651 10
-4.079 -8.81 0.632 0
-4.079 -8.81 0.632 10
-4.099 -8.868 0.727 0
-4.099 -8.868 0.727 10
-4.118 -8.83 0.593 10
-4.118 -8.887 0.44 10
-4.021 -9.002 0.287 10
-3.888 -9.04 0.574 0
-3.888 -9.04 0.574 10
-3.811 -9.213 0.478 0
-3.811 -9.213 0.478 10
-3.754 -9.232 0.593 0
-3.754 -9.232 0.593 10
-3.658 -9.213 0.67 0
-3.658 -9.213 0.67 10
-3.639 -9.155 0.689 10
-3.524 -8.964 0.632 0
-3.524 -8.964 0.632 10
-3.581 -8.906 0.498 0
-3.581 -8.906 0.498 10
-3.62 -8.868 0.402 0
-3.62 -8.868 0.402 10
-3.85 -8.849 0.459 1
-3.85 -8.849 0.459 10
-3.984 -8.83 0.402 0
-3.984 -8.83 0.402 10
-4.252 -8.849 0.555 10
-4.348 -8.81 0.574 0
-4.348 -8.81 0.574 10
-4.462 -8.81 0.498 0
-4.462 -8.81 0.498 10
-4.482 -8.619 0.976 0
-4.482 -8.619 0.976 10
-4.52 -8.734 0.708 10
-4.654 -9.04 0.823 10
-5.401 -9.787 1.149 0
-5.401 -9.787 1.149 10
0.938 -8.619 6.091 10
-0.536 -9.807 -0.881 0
-0.536 -9.807 -0.881 10
-7.316 -7.719 -0.076 0
-7.316 -7.719 -0.076 10
-6.32 -8.485 3.083 10
-4.405 -8.619 0.325 10
-4.826 -7.949 0.249 0
-4.826 -7.949 0.249 10
-4.96 -8.178 0.996 0
-4.96 -8.178 0.996 10
-4.75 -8.485 0.708 10
-4.654 -8.542 0.689 10
-5.267 -8.868 1.015 0
-5.267 -8.868 1.015 10
-3.735 -8.638 1.034 0
-3.735 -8.638 1.034 10
-3.352 -8.983 1.225 10
-3.256 -9.232 1.474 0
-3.256 -9.232 1.474 10
-3.39 -9.289 1.11 10
-3.773 -9.059 0.861 9
-4.002 -9.021 0.804 1
-4.002 -9.021 0.804 10
-4.175 -8.925 0.612 9
-4.156 -8.925 0.651 1
-4.156 -8.925 0.651 10
-4.156 -8.925 0.708 10
-4.06 -8.925 0.708 0
-4.06 -8.925 0.708 10
-3.964 -8.925 0.651 9
-3.984 -8.964 0.67 0
-3.984 -8.964 0.67 10
-4.021 -8.945 0.689 1
-4.021 -8.945 0.689 10
-4.021 -8.906 0.651 0
-4.021 -8.906 0.651 10
-3.888 -8.887 0.708 10
-3.811 -8.925 0.804 0
-3.811 -8.925 0.804 10
-3.773 -8.945 0.785 0
-3.773 -8.945 0.785 10
-3.735 -8.906 0.785 9
-3.869 -8.945 0.747 1
-3.869 -8.945 0.747 10
-3.964 -8.964 0.766 9
-4.041 -8.945 0.689 10
-4.041 -8.887 0.747 0
-4.041 -8.887 0.747 10
-4.002 -8.868 0.785 1
-4.002 -8.868 0.785 10
-3.964 -8.868 0.727 10
-3.926 -8.887 0.785 9
-3.907 -8.887 0.727 10
-3.888 -8.964 0.804 1
-3.888 -8.964 0.804 10
-3.926 -8.964 0.823 10
-3.926 -8.964 0.804 0
-3.926 -8.964 0.804 10
-3.964 -8.945 0.823 0
-3.964 -8.945 0.823 10
-3.945 -8.925 0.747 10
-3.984 -8.964 0.708 0
-3.984 -8.964 0.708 10
-4.002 -8.964 0.747 9
-4.021 -8.925 0.785 1
-4.021 -8.925 0.785 10
-3.984 -8.925 0.689 10
-3.869 -8.945 0.689 9
-3.83 -9.021 0.689 1
-3.83 -9.021 0.689 10
-3.811 -9.059 0.727 10
-3.773 -9.059 0.804 0
-3.773 -9.059 0.804 10
-3.754 -9.04 0.881 0
-3.754 -9.04 0.881 10
-3.85 -8.983 0.919 0
-3.85 -8.983 0.919 10
-3.926 -9.021 0.804 10
-4.002 -9.002 0.766 10
-3.964 -8.964 0.747 0
-3.964 -8.964 0.747 10
-3.926 -9.002 0.727 0
-3.926 -9.002 0.727 10
-3.888 -9.021 0.766 0
-3.888 -9.021 0.766 10
-3.926 -9.04 0.842 10
-3.869 -8.964 0.823 0
-3.869 -8.964 0.823 10
-3.907 -8.964 0.804 0
-3.907 -8.964 0.804 10
-3.85 -9.002 0.689 10
-3.773 -9.002 0.766 10
-3.696 -9.059 0.766 0
-3.696 -9.059 0.766 10
-3.735 -9.079 0.842 10
-3.773 -9.002 0.9 0
-3.773 -9.002 0.9 10
-3.83 -8.964 0.842 10
-3.869 -9.002 0.747 0
-3.869 -9.002 0.747 10
-3.945 -9.002 0.727 0
-3.945 -9.002 0.727 10
-3.907 -8.983 0.747 10
-3.792 -8.983 0.785 0
-3.792 -8.983 0.785 10
-3.773 -8.983 0.823 0
-3.773 -8.983 0.823 10
-3.735 -9.021 0.727 10
-3.754 -9.04 0.689 0
-3.754 -9.04 0.689 10
-3.792 -9.079 0.612 10
-3.754 -9.079 0.632 0
-3.754 -9.079 0.632 10
-3.735 -9.04 0.632 0
-3.735 -9.04 0.632 10
-3.696 -9.079 0.593 10
-3.696 -9.079 0.593 10
-3.735 -9.098 0.593 0
-3.735 -9.098 0.593 10
-3.735 -9.098 0.555 0
-3.735 -9.098 0.555 10
-3.696 -9.117 0.574 10
-3.62 -9.079 0.632 10
-3.62 -9.098 0.574 0
-3.62 -9.098 0.574 10
-3.601 -9.079 0.574 10
-3.696 -9.04 0.555 0
-3.696 -9.04 0.555 10
-3.735 -9.021 0.517 0
-3.735 -9.021 0.517 10
-3.754 -9.098 0.478 10
-3.85 -9.098 0.517 0
-3.85 -9.098 0.517 10
-3.907 -9.098 0.459 0
-3.907 -9.098 0.459 10
-3.888 -9.059 0.498 10
-3.869 -8.983 0.459 9
-3.85 -8.983 0.498 10
-3.792 -8.983 0.517 0
-3.792 -8.983 0.517 10
-3.83 -9.002 0.498 0
-3.83 -9.002 0.498 10
-3.811 -9.021 0.498 1
-3.811 -9.021 0.498 10
-3.735 -9.04 0.517 9
-3.696 -9.04 0.517 10
-3.735 -9.021 0.574 10
-3.754 -9.04 0.574 10
-3.754 -9.021 0.593 0
-3.754 -9.021 0.593 10
-3.811 -9.04 0.555 0
-3.811 -9.04 0.555 10
-3.811 -9.059 0.536 10
-3.773 -9.002 0.536 10
-3.754 -9.059 0.536 10
-3.792 -9.04 0.593 0
-3.792 -9.04 0.593 10
-3.85 -9.002 0.67 1
-3.85 -9.002 0.67 10
-3.85 -8.945 0.632 9
-3.85 -8.964 0.612 10
-3.869 -9.002 0.612 10
-3.792 -8.964 0.632 0
-3.792 -8.964 0.632 10
-3.754 -9.002 0.651 0
-3.754 -9.002 0.651 10
-3.773 -9.002 0.67 10
-3.792 -9.002 0.651 10
-3.907 -8.983 0.574 10
-3.869 -9.04 0.555 10
-3.85 -9.04 0.555 0
-3.85 -9.04 0.555 10
-3.888 -9.059 0.574 0
-3.888 -9.059 0.574 10
-3.869 -9.04 0.612 10
-3.85 -9.021 0.555 10
-3.792 -9.002 0.612 10
-3.754 -9.002 0.632 10
-3.792 -9.021 0.574 10
-3.773 -9.098 0.574 0
-3.773 -9.098 0.574 10
-3.735 -9.079 0.574 0
-3.735 -9.079 0.574 10
-3.677 -9.04 0.574 10
-3.735 -9.079 0.555 10
-3.792 -9.021 0.517 10
-3.811 -9.002 0.517 0
-3.811 -9.002 0.517 10
-3.792 -9.04 0.459 10
-3.792 -9.059 0.459 10
-3.792 -9.098 0.498 0
-3.792 -9.098 0.498 10
-3.83 -9.079 0.498 0
-3.83 -9.079 0.498 10
-3.85 -9.079 0.478 10
-3.869 -9.059 0.478 10
-3.83 -9.021 0.402 0
-3.83 -9.021 0.402 10
-3.792 -9.021 0.402 10
-3.754 -9.021 0.44 10
-3.754 -9.002 0.498 0
-3.754 -9.002 0.498 10
-3.773 -9.04 0.478 0
-3.773 -9.04 0.478 10
-3.85 -9.04 0.421 1
-3.85 -9.04 0.421 10
-3.83 -9.059 0.363 9
-3.85 -9.079 0.363 10
-3.926 -9.04 0.306 0
-3.926 -9.04 0.306 10
-3.964 -9.059 0.344 0
-3.964 -9.059 0.344 10
-3.945 -9.021 0.363 10
-3.926 -8.983 0.421 10
-3.945 -8.925 0.44 10
-3.926 -8.945 0.421 1
-3.926 -8.945 0.421 10
-3.926 -8.964 0.383 10
-3.83 -9.002 0.325 10
-3.811 -9.002 0.306 9
-3.85 -9.04 0.325 10
-3.83 -9.098 0.325 0
-3.83 -9.098 0.325 10
-3.83 -9.098 0.498 0
-3.83 -9.098 0.498 10
-3.83 -9.059 0.498 0
-3.83 -9.059 0.498 10
-3.907 -8.964 0.478 0
-3.907 -8.964 0.478 10
-3.945 -8.906 0.44 0
-3.945 -8.906 0.44 10
-3.964 -8.887 0.402 0
-3.964 -8.887 0.402 10
-3.926 -8.906 0.325 10
-3.926 -8.868 0.383 10
-3.926 -8.868 0.383 10
-3.926 -8.887 0.383 0
-3.926 -8.887 0.383 10
