#Comments starts with #
#Created by Program
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)
# units set to: m/sec^2

#labels start with "$" a or m [blank] type
#a = automatic, m manualexample "a undefined"
0.498 1.379 9.213 0
0.498 1.379 9.213 10
-0.095 1.225 8.81 10
1.091 2.394 7.91 0
1.091 2.394 7.91 10
1.513 2.681 8.638 10
0.038 3.486 7.087 0
0.038 3.486 7.087 10
0.038 3.486 7.087 10
-1.11 2.03 7.47 0
-1.11 2.03 7.47 10
-1.091 0.095 6.033 10
-1.34 -0.689 4.692 10
-0.976 0.076 4.731 1
-0.976 0.076 4.731 10
-0.114 1.11 4.96 9
1.053 2.183 5.382 10
3.428 3.16 4.482 0
3.428 3.16 4.482 10
6.493 3.601 3.505 10
9.404 2.758 3.811 3
9.404 2.758 3.811 10
11.626 1.647 5.88 7
15.208 -0.076 5.803 0
15.208 -0.076 5.803 10
13.81 -1.321 4.175 1
13.81 -1.321 4.175 10
9.002 -3.045 2.317 9
4.252 -2.988 3.581 0
4.252 -2.988 3.581 10
-2.662 -2.451 4.98 10
-3.486 -1.417 5.382 0
-3.486 -1.417 5.382 10
-0.785 -0.67 3.102 10
3.984 -0.306 0.153 10
7.565 0.689 -1.053 0
7.565 0.689 -1.053 10
11.454 2.355 -6.665 9
27.773 16.337 -11.894 1
27.773 16.337 -11.894 10
8.485 14.135 -10.209 0
8.485 14.135 -10.209 10
13.733 11.703 2.547 10
11.186 5.401 -6.416 0
11.186 5.401 -6.416 10
7.891 -0.804 -9.787 10
8.523 -1.13 -8.408 7
8.523 -1.13 -8.408 3
7.546 -1.474 -10.611 9
7.144 -1.743 -14.48 1
7.144 -1.743 -14.48 10
6.55 -1.57 -18.349 9
1.781 -2.547 -22.697 1
1.781 -2.547 -22.697 10
-1.206 -6.167 -21.778 10
9.615 -2.815 -5.286 9
12.699 1.398 -5.899 0
12.699 1.398 -5.899 10
9.04 4.367 0.44 1
9.04 4.367 0.44 10
6.205 3.313 -5.784 0
6.205 3.313 -5.784 10
1.589 0.708 -7.374 0
1.589 0.708 -7.374 10
-0.134 1.168 -5.114 10
1.474 3.792 -5.018 10
0.268 5.095 -8.408 10
8.37 4.75 -4.711 2
8.37 4.75 -4.711 10
8.676 5.554 -9.232 8
1.417 3.811 -12.009 0
1.417 3.811 -12.009 10
-4.75 2.202 -12.45 10
-3.486 3.486 -10.649 9
-1.474 5.018 -8.485 0
-1.474 5.018 -8.485 10
-1.225 4.941 -7.144 10
-2.968 4.271 -6.857 10
-4.367 2.432 -7.546 0
-4.367 2.432 -7.546 10
-1.149 2.336 -6.799 0
-1.149 2.336 -6.799 10
0.038 0.555 6.34 10
-6.359 5.267 -2.451 0
-6.359 5.267 -2.451 10
-13.561 6.091 -2.547 10
-13.465 -3.045 7.336 10
-9.098 1.13 -4.807 10
-7.451 1.264 0.785 0
-7.451 1.264 0.785 10
-8.523 0.766 -1.379 0
-8.523 0.766 -1.379 10
-10.592 -0.344 -0.823 10
-6.55 -1.225 0.383 10
-0.21 -0.057 1.494 10
4.099 1.608 -1.11 0
4.099 1.608 -1.11 10
1.455 0.478 -0.536 0
1.455 0.478 -0.536 10
-1.532 -1.857 0.651 10
-3.524 -3.869 0.44 0
-3.524 -3.869 0.44 10
-5.286 -7.47 3.275 0
-5.286 -7.47 3.275 10
-8.102 -8.485 4.865 10
-7.891 -6.282 1.57 10
-7.412 -4.635 0.804 10
-6.263 -3.888 -0.574 10
-1.513 -4.348 -0.842 0
-1.513 -4.348 -0.842 10
-0.861 -6.014 -1.57 10
-2.413 -9.749 -1.857 10
-4.635 -13.561 -2.509 0
-4.635 -13.561 -2.509 10
-5.305 -15.151 -6.052 10
-11.205 -16.319 -6.646 0
-11.205 -16.319 -6.646 10
-15.495 -15.304 -3.543 0
-15.495 -15.304 -3.543 10
-20.514 -13.963 0.306 0
-20.514 -13.963 0.306 10
-19.192 -13.81 -1.149 0
-19.192 -13.81 -1.149 10
-20.705 -11.818 1.417 0
-20.705 -11.818 1.417 10
-21.05 -9.864 3.428 10
-20.552 -9.768 4.041 0
-20.552 -9.768 4.041 10
-21.491 -9.634 2.834 0
-21.491 -9.634 2.834 10
-21.701 -9.059 1.934 10
-20.437 -8.447 1.647 0
-20.437 -8.447 1.647 10
-23.138 -4.271 8.37 10
